mickey_daniels;actedin;the_big_show_(1923_film);mickey_daniels;actedin;a_quiet_street;mickey_daniels;actedin;july_days_(film);mickey_daniels;actedin;stage_fright_(1923_film);mickey_daniels;actedin;the_champeen;0.7477171;1;0.98366666;2;0.7390029;7;5.560862641227171;3.8032524585723877
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;fernando_muñoz;playsfor;spain_national_under-18_football_team;0.95637673;1;0.99935657;2;0.61538225;5;3.594831300335129;4.584643602371216
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;elche_c.f.;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;0.95637673;1;0.99935657;2;0.79241663;4;2.5515511456492885;4.583162307739258
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;playsfor;rcd_espanyol;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;0.95637673;1;0.99935657;2;0.9007846;4;2.5246230549171056;4.581144332885742
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;fernando_muñoz;isaffiliatedto;sevilla_f.c.;0.95637673;1;0.99935657;2;0.9357059;5;3.5159072967010294;4.57756233215332
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;fernando_muñoz;playsfor;real_madrid_c.f.;0.95637673;1;0.99935657;2;0.63667285;6;4.589689929811107;4.584251165390015
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;elche_c.f.;fernando_muñoz;playsfor;spain_national_under-18_football_team;0.95637673;1;0.99935657;2;0.8062664;3;1.5481231103206343;4.582703351974487
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;sevilla_fc;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;0.95637673;1;0.99935657;2;0.6481322;5;3.586914452198166;4.5794219970703125
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;playsfor;spain_national_under-21_football_team;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;0.95637673;1;0.99935657;2;0.61708045;5;3.5944219573629366;4.579805850982666
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;fernando_muñoz;isaffiliatedto;r.c.d._espanyol_de_barcelona;0.95637673;1;0.99935657;2;0.87873757;4;2.5301182428860574;4.581770181655884
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;spain_national_under-21_football_team;fernando_muñoz;hasgender;male;0.95637673;1;0.99935657;2;0.75978655;4;2.5596076851379053;4.494880676269531
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;playsfor;rcd_espanyol;fernando_muñoz;playsfor;spain_national_under-18_football_team;0.95637673;1;0.99935657;2;0.7282849;4;2.5673559800462806;4.580634355545044
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;isaffiliatedto;sevilla_f.c.;fernando_muñoz;playsfor;spain_national_under-18_football_team;0.95637673;1;0.99935657;2;0.80793166;4;2.5477106251259;4.5831193923950195
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;spain_national_football_team;fernando_muñoz;isaffiliatedto;rcd_espanyol;fernando_muñoz;playsfor;real_madrid_c.f.;fernando_muñoz;playsfor;spain_national_under-18_football_team;0.95637673;1;0.99935657;2;0.6440748;4;2.5878978057665423;4.597541093826294
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;playsfor;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;0.8168388;1;0.9937733;2;0.84811705;5;3.5363498140550615;4.150790452957153
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;playsfor;fc_torpedo_kutaisi;0.8168388;1;0.9937733;2;0.9859152;4;2.5019645142793103;4.148491382598877
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;isaffiliatedto;fc_elista;0.8168388;1;0.9937733;2;0.989113;5;3.5011650749816265;4.147924184799194
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;playsfor;fc_kryvbas_kryvyi_rih;0.8168388;1;0.9937733;2;0.98421174;5;3.5023903664628895;4.1475183963775635
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;playsfor;fc_naftovyk-ukrnafta_okhtyrka;0.8168388;1;0.9937733;2;0.95620877;5;3.509390024859752;4.149831771850586
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;isaffiliatedto;fc_naftovyk-ukrnafta_okhtyrka;0.8168388;1;0.9937733;2;0.97347045;6;4.505075533686158;4.145811080932617
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;playsfor;sc_tavriya_simferopol;0.8168388;1;0.9937733;2;0.9702214;4;2.505887698176359;4.14483380317688
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;playsfor;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;0.8168388;1;0.9937733;2;0.9846102;4;2.5022907543834747;4.1449761390686035
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;georgia_national_football_team;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;0.8168388;1;0.9937733;2;0.97764766;4;2.5040313174960733;4.164374351501465
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;isaffiliatedto;fc_kryvbas_kryvyi_rih;0.8168388;1;0.9937733;2;0.9903356;5;3.500859423625483;4.16019082069397
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;playsfor;fc_elista;0.8168388;1;0.9937733;2;0.97838324;5;3.5038474336830983;4.150752544403076
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;wasbornin;kutaisi;0.8168388;1;0.9937733;2;0.98603034;5;3.501935725673827;4.000049829483032
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;junagadh_district;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.60109276;2;0.5267807006473547;6.834702253341675
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;bhavnagar;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.39103478;2;0.5786620516578983;7.214482069015503
gujarat;islocatedin;gandhinagar;western_ghats;islocatedin;gujarat;junagadh_district;islocatedin;gujarat;bhavnagar;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.4158144;2;0.5726089875073908;6.196848392486572
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;vadodara_district;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.4836689;2;0.555927309324669;6.433001518249512
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;junagadh_district;islocatedin;gujarat;bhavnagar;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.37052247;3;1.5836549740585726;6.965107679367065
gujarat;islocatedin;gandhinagar;western_ghats;islocatedin;gujarat;vadodara_district;islocatedin;gujarat;junagadh_district;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.6672948;2;0.5102544053317137;6.44978928565979
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;vadodara_district;islocatedin;gujarat;junagadh_district;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.40936285;2;0.5741871165844514;6.96794319152832
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;jamnagar_district;islocatedin;gujarat;western_ghats;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.50612855;2;0.5503759062687124;6.502783298492432
gujarat;islocatedin;gandhinagar;gandhinagar;islocatedin;gujarat;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.25994715;2;0.6102518603274288;6.921903133392334
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;junagadh_district;islocatedin;gujarat;bhavnagar;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.51112145;2;0.5491400430671891;6.516248464584351
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;panchmahal_district;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.40020207;2;0.5764253580302989;6.287059783935547
gujarat;islocatedin;gandhinagar;gujarat;islocatedin;india;western_ghats;islocatedin;gujarat;banaskantha_district;islocatedin;gujarat;anand_gujarat;islocatedin;gujarat;0.5957318;1;0.7083182;2;0.5655623;2;0.5356284802829078;6.559375524520874
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;isaffiliatedto;c.f._pachuca;0.9345929;1;0.9968362;2;0.7152474;2;0.5699356945451346;3.7864582538604736
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;isaffiliatedto;deportivo_cali;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.9437651;3;1.5132646571862518;4.0894834995269775
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;isaffiliatedto;club_atlético_vélez_sarsfield;0.9345929;1;0.9968362;2;0.9333477;3;1.5158667915764488;4.245781660079956
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;isaffiliatedto;bolivia_national_football_team;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.8150938;3;1.5453109416782842;4.3228936195373535
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;unión_de_santa_fe;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.9430088;3;1.5134536030401131;4.303151607513428
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;playsfor;estudiantes_de_río_cuarto;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.90894055;4;2.521959771989369;4.309240102767944
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;playsfor;unión_de_santa_fe;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.91111505;4;2.521417170741471;4.307666778564453
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;estudiantes_de_río_cuarto;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.945489;3;1.5128339793802665;4.359391927719116
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;playsfor;bolivia_national_football_team;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.8588699;4;2.534436961376111;4.371074438095093
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;playsfor;club_destroyers;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.7209854;4;2.5685286934643248;4.264100551605225
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;club_bolívar;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.697054;3;1.574389262402638;4.225472927093506
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;club_destroyers;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.88077164;3;1.5289836079602122;4.3428168296813965
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;playsfor;deportivo_cali;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.8365511;4;2.5399857083145525;4.259751081466675
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;playsfor;club_atlético_vélez_sarsfield;0.9345929;1;0.9968362;2;0.77512413;4;2.5552020710863124;4.299885988235474
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;hasgender;male;carlos_trucco;wasbornin;córdoba_argentina;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.93564755;3;1.5152923885620364;4.150063514709473
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;playsfor;club_bolívar;carlos_trucco;hasgender;male;carlos_trucco;playsfor;c.f._pachuca;0.9345929;1;0.9968362;2;0.87075895;4;2.531477623761984;4.248236417770386
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;deportivo_cali;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;isaffiliatedto;c.f._pachuca;0.9345929;1;0.9968362;2;0.5717601;2;0.6046972679060384;4.2937912940979
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;isaffiliatedto;c.f._pachuca;carlos_trucco;isaffiliatedto;club_atlético_vélez_sarsfield;0.9345929;1;0.9968362;2;0.8580096;2;0.5346510181085268;4.307504177093506
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;deportivo_cali;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;isaffiliatedto;club_atlético_vélez_sarsfield;0.9345929;1;0.9968362;2;0.8971319;3;1.5249054378596771;4.306908369064331
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;isaffiliatedto;oriente_petrolero;carlos_trucco;isaffiliatedto;bolivia_national_football_team;carlos_trucco;playsfor;c.f._pachuca;carlos_trucco;isaffiliatedto;c.f._pachuca;0.9345929;1;0.9968362;2;0.85083467;2;0.5364356791689013;4.3113038539886475
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;moldova_national_under-21_football_team;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.5317287;6;4.596859577236463;5.199342250823975
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;playsfor;fc_nistru_otaci;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.6453213;4;2.5692530583537847;5.107192754745483
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;moldova_national_under-21_football_team;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;playsfor;fc_nistru_otaci;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.64050674;6;4.570433213290673;5.123612642288208
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;fc_chernomorets_novorossiysk;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.73978454;5;3.5459552058320094;5.273890972137451
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;fc_tiraspol;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.77185;4;2.5379955142598085;5.48650598526001
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;moldova_national_under-21_football_team;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;playsfor;fc_nistru_otaci;0.6816587;1;0.9241256;2;0.69638395;6;4.556690598762413;5.486884832382202
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;moldova_national_under-21_football_team;evgheni_hmaruc;playsfor;fc_chernomorets_novorossiysk;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.77370447;6;4.537534539318471;5.290649652481079
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;fc_tiraspol;evgheni_hmaruc;playsfor;moldova_national_under-21_football_team;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.82058996;5;3.5258608156324502;5.513023376464844
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;fc_chernomorets_novorossiysk;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;playsfor;fc_nistru_otaci;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.7409834;6;4.545657999445079;5.243717670440674
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;moldova_national_football_team;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dynamo_saint_petersburg;0.6816587;1;0.9241256;2;0.47654992;7;5.610062677771888;5.3759260177612305
patrick_mayo;playsfor;bay_united_f.c.;patrick_mayo;isaffiliatedto;bay_united_f.c.;patrick_mayo;playsfor;supersport_united_f.c.;patrick_mayo;playsfor;bush_bucks_f.c._(1957);patrick_mayo;playsfor;south_africa_national_football_team;0.768306;1;0.97065735;2;0.44571146;5;3.6283035434901896;3.2652015686035156
patrick_mayo;playsfor;bay_united_f.c.;patrick_mayo;isaffiliatedto;bay_united_f.c.;patrick_mayo;playsfor;bush_bucks_f.c._(1957);patrick_mayo;playsfor;south_africa_national_football_team;patrick_mayo;playsfor;kaizer_chiefs_f.c.;0.768306;1;0.97065735;2;0.36946422;6;4.645929228107719;3.252434730529785
