moe_howard;actedin;income_tax_sappy;moe_howard;actedin;higher_than_a_kite;moe_howard;actedin;bedlam_in_paradise;moe_howard;actedin;hello_pop!;;;;3.2985961;2.715997;1;1
ținutul_crișuri;islocatedin;transylvania;ținutul_crișuri;islocatedin;kingdom_of_romania;;;;;;;;;;6.3319855;7.54263;1;4
tustin_california;islocatedin;california;tustin_california;islocatedin;southern_california;;;;;;;;;;6.6691723;7.9724054;1;3
sitges;islocatedin;spain;sitges;islocatedin;catalonia;;;;;;;;;;6.6776395;8.977315;1;6
yeung_ching_kwong;playsfor;hong_kong_national_football_team;yeung_ching_kwong;playsfor;eastern_aa;;;;;;;;;;5.5102005;4.4460325;1;1
norshahrul_idlan_talaha;playsfor;malaysia_national_football_team;norshahrul_idlan_talaha;isaffiliatedto;perak_fa;norshahrul_idlan_talaha;isaffiliatedto;malaysian_president's_cup;;;;;;;3.736116;4.596244;1;1
santiago_dellapè;playsfor;benetton_rugby_treviso;santiago_dellapè;isaffiliatedto;l'aquila_rugby;;;;;;;;;;6.8530464;6.909889;1;1
fjodor_xhafa;playsfor;kf_elbasani;fjodor_xhafa;isaffiliatedto;flamurtari_vlorë;;;;;;;;;;4.740875;5.0571113;1;1
luis_ignacio_quinteros;playsfor;club_deportivo_universidad_católica;luis_ignacio_quinteros;isaffiliatedto;chile_national_football_team;;;;;;;;;;2.5255456;2.7195935;1;3
edgar_álvarez;playsfor;cagliari_calcio;edgar_álvarez;isaffiliatedto;platense_f.c.;;;;;;;;;;5.280546;4.719412;1;2
oleksandr_shovkovskiy;playsfor;ukraine_national_under-21_football_team;oleksandr_shovkovskiy;isaffiliatedto;f.c._dynamo_kyiv;;;;;;;;;;3.7307138;4.783456;1;2
mark_stallard;playsfor;chesterfield_f.c.;mark_stallard;isaffiliatedto;chesterfield_f.c.;;;;;;;;;;2.0413108;1.9733529;1;1
liam_tuohy_(footballer);playsfor;republic_of_ireland_national_football_team;liam_tuohy_(footballer);playsfor;republic_of_ireland_national_football_b_team;liam_tuohy_(footballer);isaffiliatedto;republic_of_ireland_national_football_b_team;liam_tuohy_(footballer);playsfor;league_of_ireland_xi;;;;3.2896304;4.481902;1;2
thomas_rongen;playsfor;chicago_sting;thomas_rongen;playsfor;minnesota_strikers;;;;;;;;;;4.4829564;4.5461116;1;1
bent_skammelsrud;playsfor;norway_national_football_team;bent_skammelsrud;isaffiliatedto;frigg_oslo_fk;;;;;;;;;;4.4167585;3.9333692;1;1
gabriel_enrique_gómez;wasbornin;panama_city;gabriel_enrique_gómez;playsfor;san_francisco_f.c.;gabriel_enrique_gómez;isaffiliatedto;san_francisco_f.c.;gabriel_enrique_gómez;isaffiliatedto;sporting_san_miguelito;;;;7.090879;7.5661864;1;4
nikola_jerkan;wasbornin;split_croatia;nikola_jerkan;hasgender;male;nikola_jerkan;isaffiliatedto;nk_zagreb;;;;;;;6.752067;7.5426183;1;3
pablo_álvarez_menéndez;wasbornin;montevideo;pablo_álvarez_menéndez;playsfor;uruguay_national_football_team;;;;;;;;;;8.45746;8.480231;1;2
ljubiša_spajić;wasbornin;belgrade;ljubiša_spajić;isaffiliatedto;aris_thessaloniki_f.c.;ljubiša_spajić;isaffiliatedto;o.f.k._beograd;;;;;;;5.395754;5.6589193;1;1
otto_hemele;wasbornin;prague;otto_hemele;playsfor;czechoslovakia_national_football_team;;;;;;;;;;6.663647;5.4703465;1;1
joseph_stefan;worksat;university_of_vienna;joseph_stefan;livesin;austria;joseph_stefan;hasacademicadvisor;andreas_von_ettingshausen;ludwig_boltzmann;hasacademicadvisor;joseph_stefan;;;;4.7408705;8.37051;1;1
