billy_halop;actedin;hell's_kitchen_(1939_film);billy_halop;actedin;crime_school;;;;;;;;;;11.186914;10.762952;1;3
jordy_clasie;isaffiliatedto;feyenoord;jordy_clasie;playsfor;feyenoord;;;;;;;;;;9.742213;7.365508;1;2
abdikokhor_marifaliev;isaffiliatedto;navbahor_namangan;abdikokhor_marifaliev;playsfor;navbahor_namangan;;;;;;;;;;9.579206;6.9128575;1;4
colorado_springs_airport;isconnectedto;salt_lake_city_international_airport;salt_lake_city_international_airport;isconnectedto;colorado_springs_airport;;;;;;;;;;10.0493765;8.831401;1;2
saint-augustin_airport;isconnectedto;tête-à-la-baleine_airport;saint-augustin_airport;isconnectedto;kegaska_airport;;;;;;;;;;10.340551;10.530557;1;1
jürgen_habermas;isinterestedin;political_philosophy;jürgen_habermas;hasgender;male;;;;;;;;;;11.660901;11.6620245;1;1
maitland_florida;islocatedin;florida;maitland_florida;islocatedin;orange_county_(florida);;;;;;;;;;8.905705;8.657496;1;1
naughty_dog;islocatedin;california;naughty_dog;created;crash_bandicoot;;;;;;;;;;7.941422;7.7310905;1;2
penarth;islocatedin;wales;penarth;islocatedin;south_wales;;;;;;;;;;9.030945;8.970646;1;1
wallace_mccain;livesin;ontario;wallace_mccain;livesin;toronto;;;;;;;;;;8.378553;6.045172;1;4
republic_of_genoa;participatedin;battle_of_crécy;battle_of_crécy;happenedin;republic_of_genoa;;;;;;;;;;11.954094;10.401995;1;21
mauricio_almada;playsfor;deportivo_merlo;mauricio_almada;isaffiliatedto;deportivo_merlo;;;;;;;;;;10.091831;2.620279;1;163
cristian_ianu;playsfor;fc_wohlen;cristian_ianu;isaffiliatedto;fc_wohlen;;;;;;;;;;10.176417;4.952494;1;34
mevlüt_erdinç;playsfor;paris_saint-germain_f.c.;mevlüt_erdinç;isaffiliatedto;paris_saint-germain_f.c.;;;;;;;;;;9.92828;5.848239;1;26
wim_suurbier;playsfor;afc_ajax;wim_suurbier;isaffiliatedto;afc_ajax;;;;;;;;;;10.157594;8.541044;1;4
alan_o'neill_(footballer_born_1957);playsfor;shamrock_rovers_f.c.;alan_o'neill_(footballer_born_1957);isaffiliatedto;shamrock_rovers_f.c.;;;;;;;;;;10.659566;8.136687;1;1
martin_kayongo-mutumba;playsfor;uganda_national_football_team;martin_kayongo-mutumba;isaffiliatedto;uganda_national_football_team;;;;;;;;;;9.590147;-0.8799959;1;6906
yakubu_abubakar_akilu;playsfor;fc_hjørring;yakubu_abubakar_akilu;isaffiliatedto;fc_hjørring;;;;;;;;;;9.597553;4.3680344;1;18
darijan_matič;playsfor;bnei_sakhnin_f.c.;darijan_matič;isaffiliatedto;bnei_sakhnin_f.c.;;;;;;;;;;10.221523;4.27305;1;113
léider_preciado;playsfor;racing_de_santander;léider_preciado;isaffiliatedto;racing_de_santander;;;;;;;;;;10.647223;8.192704;1;3
srdjan_luchin;playsfor;romania_national_football_team;srdjan_luchin;playsfor;pfc_botev_plovdiv;;;;;;;;;;9.221161;9.378452;1;2
jody_morris;playsfor;millwall_f.c.;jody_morris;isaffiliatedto;millwall_f.c.;;;;;;;;;;10.275754;6.103017;1;5
laryea_kingston;playsfor;heart_of_midlothian_f.c.;laryea_kingston;isaffiliatedto;heart_of_midlothian_f.c.;;;;;;;;;;10.243646;3.9551075;1;161
christian_mcclean;playsfor;swansea_city_a.f.c.;christian_mcclean;isaffiliatedto;swansea_city_a.f.c.;;;;;;;;;;10.07344;3.2134578;1;137
ian_bogie;playsfor;bedlington_terriers_f.c.;ian_bogie;playsfor;gateshead_f.c.;;;;;;;;;;9.551779;9.766918;1;2
stu_riddle;playsfor;greenock_morton_f.c.;stu_riddle;isaffiliatedto;greenock_morton_f.c.;;;;;;;;;;10.005321;1.0178847;1;1950
chris_sulley;playsfor;dundee_united_f.c.;chris_sulley;isaffiliatedto;dundee_united_f.c.;;;;;;;;;;9.927814;3.6570284;1;111
dean_gordon;playsfor;crystal_palace_f.c.;dean_gordon;isaffiliatedto;crystal_palace_f.c.;;;;;;;;;;10.391139;7.1275826;1;23
sergey_timofeev;playsfor;fc_kyzylzhar;sergey_timofeev;isaffiliatedto;fc_kyzylzhar;;;;;;;;;;10.048546;6.2040524;1;17
lukáš_magera;playsfor;sk_kladno;lukáš_magera;isaffiliatedto;sk_kladno;;;;;;;;;;10.1834955;4.998526;1;26
andrea_orlandi;playsfor;fc_barcelona;andrea_orlandi;playsfor;fc_barcelona_b;;;;;;;;;;9.749051;9.520114;1;2
chris_turner_(footballer_born_1990);playsfor;burnley_f.c.;chris_turner_(footballer_born_1990);isaffiliatedto;burnley_f.c.;;;;;;;;;;10.17964;5.67249;1;16
mykhaylo_forkash;playsfor;fc_zorya_luhansk;mykhaylo_forkash;isaffiliatedto;fc_zorya_luhansk;;;;;;;;;;9.840891;6.5936847;1;3
grzegorz_podstawek;playsfor;kszo_ostrowiec_świętokrzyski;grzegorz_podstawek;isaffiliatedto;kszo_ostrowiec_świętokrzyski;;;;;;;;;;9.472238;6.0645566;1;19
azar_karadas;playsfor;kasımpaşa_spor_kulübü;azar_karadas;isaffiliatedto;kasımpaşa_spor_kulübü;;;;;;;;;;10.184913;2.3377445;1;456
derek_mcwilliams;playsfor;airdrieonians_f.c._(1878);derek_mcwilliams;isaffiliatedto;airdrieonians_f.c._(1878);;;;;;;;;;10.39512;5.861926;1;29
vedran_celiščak;playsfor;dalian_shide_f.c.;vedran_celiščak;isaffiliatedto;dalian_shide_f.c.;;;;;;;;;;10.117927;0.46003747;1;2295
steve_mautone;playsfor;canberra_cosmos_fc;steve_mautone;isaffiliatedto;canberra_cosmos_fc;;;;;;;;;;10.125108;5.383944;1;71
kieran_charnock;playsfor;peterborough_united_f.c.;kieran_charnock;isaffiliatedto;peterborough_united_f.c.;;;;;;;;;;10.298274;5.26057;1;74
dedi_ben_dayan;playsfor;maccabi_tel_aviv_f.c.;dedi_ben_dayan;isaffiliatedto;maccabi_tel_aviv_f.c.;;;;;;;;;;10.356521;7.805124;1;6
mike_twellman;playsfor;dallas_sidekicks_(1984–2004);mike_twellman;isaffiliatedto;dallas_sidekicks_(1984–2004);;;;;;;;;;9.939923;2.9705303;1;91
marc_wilson_(irish_footballer);playsfor;a.f.c._bournemouth;marc_wilson_(irish_footballer);isaffiliatedto;a.f.c._bournemouth;;;;;;;;;;10.185992;6.0537167;1;6
vlatko_đolonga;playsfor;deportivo_alavés;vlatko_đolonga;isaffiliatedto;deportivo_alavés;;;;;;;;;;10.174706;1.4258558;1;788
feridun_sungur;playsfor;elazığspor;feridun_sungur;isaffiliatedto;elazığspor;;;;;;;;;;9.424069;5.024371;1;34
sven_benken;playsfor;f.c._hansa_rostock;sven_benken;playsfor;fc_energie_cottbus;;;;;;;;;;10.275907;10.084727;1;2
rené_bot;playsfor;feyenoord;rené_bot;isaffiliatedto;feyenoord;;;;;;;;;;10.088839;3.7163222;1;32
luke_steele_(footballer);playsfor;barnsley_f.c.;luke_steele_(footballer);isaffiliatedto;barnsley_f.c.;;;;;;;;;;10.241514;5.9787316;1;7
kenneth_udjus;playsfor;sk_brann;kenneth_udjus;isaffiliatedto;sk_brann;;;;;;;;;;10.285631;7.9833875;1;3
leonīds_ostrovskis;playsfor;fc_mashuk-kmv_pyatigorsk;leonīds_ostrovskis;isaffiliatedto;fc_mashuk-kmv_pyatigorsk;;;;;;;;;;9.484733;2.6148431;1;159
florin_stângă;playsfor;fc_brașov;florin_stângă;playsfor;cs_pandurii_târgu_jiu;;;;;;;;;;9.972211;9.772919;1;2
hamed_rasouli;playsfor;sepahan_novin_f.c.;hamed_rasouli;isaffiliatedto;sepahan_novin_f.c.;;;;;;;;;;9.265009;5.213312;1;15
danny_lennon;playsfor;ayr_united_f.c.;danny_lennon;isaffiliatedto;ayr_united_f.c.;;;;;;;;;;10.07169;5.0996733;1;41
joseph_kamwendo;playsfor;mighty_wanderers_f.c.;joseph_kamwendo;playsfor;vasco_da_gama_(south_africa);;;;;;;;;;9.881422;9.329586;1;2
i̇skender_alın;wasbornin;istanbul;i̇skender_alın;hasgender;male;;;;;;;;;;9.546727;9.240329;1;1
