moe_howard;actedin;income_tax_sappy;moe_howard;actedin;boobs_in_arms;moe_howard;actedin;all_gummed_up;moe_howard;actedin;pardon_my_scotch;moe_howard;actedin;bedlam_in_paradise;3.2985961;2.8131926;1;2
josé_salomón_rondón;isaffiliatedto;málaga_cf;josé_salomón_rondón;playsfor;venezuela_national_under-20_football_team;;;;;;;;;;5.7706575;6.394904;1;7
issam_fayel_al-sinani;isaffiliatedto;al-nasr_sc_(kuwait);issam_fayel_al-sinani;playsfor;sur_sc;;;;;;;;;;5.952958;6.856372;1;2
stanislav_šesták;isaffiliatedto;slovakia_national_under-21_football_team;stanislav_šesták;playsfor;slovakia_national_football_team;;;;;;;;;;5.0759315;4.9953394;1;5
thankgod_amaefule;isaffiliatedto;sharks_f.c.;thankgod_amaefule;isaffiliatedto;heartland_f.c.;;;;;;;;;;6.3835144;5.4612236;1;1
michal_daněk;isaffiliatedto;fc_baník_ostrava;michal_daněk;isaffiliatedto;czech_republic_national_under-21_football_team;michal_daněk;isaffiliatedto;fk_chmel_blšany;;;;;;;4.069955;4.3612185;1;6
mikael_dahlberg;isaffiliatedto;sweden_national_under-17_football_team;mikael_dahlberg;playsfor;sweden_national_under-17_football_team;mikael_dahlberg;playsfor;sweden_national_under-21_football_team;mikael_dahlberg;isaffiliatedto;sweden_national_football_team;;;;4.5129824;5.2084994;1;7
alex_tayo_akande;isaffiliatedto;eastern_aa;alex_tayo_akande;playsfor;eastern_aa;alex_tayo_akande;isaffiliatedto;kitchee_sc;alex_tayo_akande;playsfor;hong_kong_rangers_fc;;;;5.3174815;6.8731956;1;7
ney_costa;isaffiliatedto;c.d.s._vida;ney_costa;playsfor;c.d.s._vida;ney_costa;isaffiliatedto;pumas_unah;ney_costa;isaffiliatedto;deportes_savio;ney_costa;playsfor;comercial_futebol_clube_(ribeirão_preto);5.7281227;5.273976;1;2
carlos_casteglione;isaffiliatedto;arsenal_de_sarandí;carlos_casteglione;isaffiliatedto;club_atlético_tigre;;;;;;;;;;4.5939474;5.3760877;1;11
josh_sole;isaffiliatedto;rugby_viadana;josh_sole;playsfor;rugby_viadana;josh_sole;isaffiliatedto;zebre;josh_sole;isaffiliatedto;aironi;;;;6.5135746;9.385181;1;5
josé_manfredi_portillo_hernández;isaffiliatedto;c.d._vista_hermosa;josé_manfredi_portillo_hernández;playsfor;c.d._vista_hermosa;josé_manfredi_portillo_hernández;playsfor;c.d._atlético_chaparratique;josé_manfredi_portillo_hernández;isaffiliatedto;el_salvador_national_under-23_football_team;;;;5.177749;5.8186035;1;9
danijel_brezič;isaffiliatedto;slovenia_national_football_team;danijel_brezič;playsfor;nk_domžale;danijel_brezič;isaffiliatedto;nk_bravo1_interblock;danijel_brezič;isaffiliatedto;nd_mura_05;danijel_brezič;isaffiliatedto;šd_nš_mura_05;4.3086843;4.667658;1;2
ian_goodison;isaffiliatedto;hull_city_a.f.c.;ian_goodison;playsfor;hull_city_a.f.c.;ian_goodison;isaffiliatedto;tranmere_rovers_f.c.;;;;;;;7.507348;9.370178;1;131
juan_mata;isaffiliatedto;spain_national_under-17_football_team;juan_mata;isaffiliatedto;real_oviedo;;;;;;;;;;3.8524504;4.2061687;1;1
stopira;isaffiliatedto;c.d._santa_clara;stopira;playsfor;videoton_fc;;;;;;;;;;4.920954;5.9950466;1;40
ricardo_iribarren;isaffiliatedto;columbus_crew;ricardo_iribarren;isaffiliatedto;ldu_quito;;;;;;;;;;4.918411;5.596551;1;3
krzysztof_kazimierczak;isaffiliatedto;zagłębie_lubin;krzysztof_kazimierczak;playsfor;wisła_płock;krzysztof_kazimierczak;wasbornin;lubin;krzysztof_kazimierczak;isaffiliatedto;wisła_płock;;;;4.3386087;4.009953;1;1
bill_mcpherson;isaffiliatedto;fall_river_marksmen;bill_mcpherson;playsfor;pawtucket_rangers;;;;;;;;;;5.4227324;5.3274736;1;1
debatik_curri;isaffiliatedto;fc_vorskla_poltava;debatik_curri;playsfor;fc_sevastopol;;;;;;;;;;5.2456164;6.083494;1;12
vladislav_romanov;isaffiliatedto;pfc_slavia_sofia;vladislav_romanov;isaffiliatedto;pofc_botev_vratsa;vladislav_romanov;isaffiliatedto;pfc_haskovo;vladislav_romanov;playsfor;ks_cracovia_(football);vladislav_romanov;isaffiliatedto;ks_cracovia_(football);4.217931;4.2070084;1;12
nerijus_barasa;isaffiliatedto;lithuania_national_football_team;nerijus_barasa;isaffiliatedto;fk_kareda_kaunas;nerijus_barasa;isaffiliatedto;fk_atlantas;nerijus_barasa;playsfor;fk_kareda_kaunas;nerijus_barasa;isaffiliatedto;fk_liepājas_metalurgs;5.2594547;6.4406986;1;11
miroslav_vajs;isaffiliatedto;macedonia_national_football_team;miroslav_vajs;playsfor;macedonia_national_football_team;miroslav_vajs;isaffiliatedto;fk_vardar;;;;;;;3.6759133;4.699352;1;1
mohammed_ali_karim;isaffiliatedto;erbil_sc;mohammed_ali_karim;playsfor;erbil_sc;;;;;;;;;;4.900054;5.578481;1;3
arash_borhani;isaffiliatedto;iran_national_football_team;arash_borhani;isaffiliatedto;iran_national_under-23_football_team;arash_borhani;playsfor;al-nasr_sc_(dubai);arash_borhani;isaffiliatedto;al-nasr_sc_(dubai);arash_borhani;isaffiliatedto;esteghlal_f.c.;5.1560864;6.986497;1;11
donald_w._riegle_jr.;isaffiliatedto;republican_party_(united_states);donald_w._riegle_jr.;graduatedfrom;western_michigan_university;donald_w._riegle_jr.;isaffiliatedto;democratic_party_(united_states);donald_w._riegle_jr.;graduatedfrom;michigan_state_university;;;;5.297489;6.289545;1;2
santiago_cañizares;isaffiliatedto;spain_national_football_team;santiago_cañizares;hasgender;male;;;;;;;;;;2.3088956;2.7337165;1;2
stuart_mason;isaffiliatedto;bangor_city_f.c.;stuart_mason;playsfor;crewe_alexandra_f.c.;;;;;;;;;;2.6992993;3.780273;1;1
jürgen_habermas;isinterestedin;political_philosophy;john_rawls;influences;jürgen_habermas;theodor_w._adorno;influences;jürgen_habermas;john_dewey;influences;jürgen_habermas;;;;4.5015597;4.2096434;1;3
ținutul_crișuri;islocatedin;transylvania;ținutul_crișuri;islocatedin;cluj-napoca;ținutul_crișuri;islocatedin;maramureș_county;ținutul_crișuri;islocatedin;kingdom_of_romania;ținutul_crișuri;islocatedin;satu_mare_county;6.3319855;8.55702;1;2
tustin_california;islocatedin;california;tustin_california;islocatedin;southern_california;tustin_california;islocatedin;orange_county_california;tustin_california;islocatedin;orange_county_(california);;;;6.6691723;11.21876;1;99
sitges;islocatedin;spain;sitges;islocatedin;barcelona;sitges;islocatedin;catalonia;;;;;;;6.6776395;9.835593;1;6
yeung_ching_kwong;playsfor;hong_kong_national_football_team;yeung_ching_kwong;isaffiliatedto;hong_kong_national_football_team;yeung_ching_kwong;playsfor;south_china_aa;yeung_ching_kwong;playsfor;eastern_aa;yeung_ching_kwong;wasbornin;hong_kong;5.5102005;5.2947936;1;1
karl_ready;playsfor;crawley_town_f.c.;karl_ready;playsfor;aldershot_town_f.c.;;;;;;;;;;4.0064096;5.6363754;1;13
simon_cziommer;playsfor;fc_twente;simon_cziommer;isaffiliatedto;vitesse;;;;;;;;;;3.8183923;4.909856;1;1
david_sinclair_(footballer_born_1969);playsfor;falkirk_f.c.;david_sinclair_(footballer_born_1969);playsfor;dundee_united_f.c.;;;;;;;;;;2.5691595;3.9393806;1;35
konstantine_darsania;playsfor;fc_sioni_bolnisi;konstantine_darsania;playsfor;fc_merani_tbilisi;konstantine_darsania;playsfor;fc_ameri_tbilisi;konstantine_darsania;playsfor;georgia_national_under-21_football_team;konstantine_darsania;playsfor;fc_mglebi_zugdidi;6.744233;9.749251;1;58
philippe_senderos;playsfor;arsenal_f.c._academy;philippe_senderos;playsfor;aston_villa_f.c.;;;;;;;;;;6.030189;6.1954374;1;7
felipe_jorge_loureiro;playsfor;clube_atlético_mineiro;felipe_jorge_loureiro;playsfor;galatasaray_s.k._(football);;;;;;;;;;4.07512;3.6633296;1;9
nima_ghavidel;playsfor;saipa_f.c.;nima_ghavidel;isaffiliatedto;saipa_f.c.;nima_ghavidel;playsfor;persepolis_f.c.;nima_ghavidel;playsfor;naft_tehran_f.c.;nima_ghavidel;isaffiliatedto;esteghlal_rasht_f.c.;6.084605;5.6282425;1;16
jorge_domínguez;playsfor;argentina_national_football_team;jorge_domínguez;playsfor;boca_juniors;;;;;;;;;;5.4808292;6.9553013;1;102
norshahrul_idlan_talaha;playsfor;malaysia_national_football_team;norshahrul_idlan_talaha;isaffiliatedto;malaysia_national_under-23_football_team;norshahrul_idlan_talaha;playsfor;harimau_muda_a;norshahrul_idlan_talaha;isaffiliatedto;negeri_sembilan_fa;;;;3.736116;5.4400964;1;1
vilard_normcharoen;playsfor;singhtarua_f.c.;vilard_normcharoen;isaffiliatedto;singhtarua_f.c.;vilard_normcharoen;isaffiliatedto;thailand_national_futsal_team;;;;;;;5.675416;7.114152;1;6
santiago_dellapè;playsfor;benetton_rugby_treviso;santiago_dellapè;isaffiliatedto;benetton_rugby_treviso;santiago_dellapè;playsfor;l'aquila_rugby;santiago_dellapè;playsfor;biarritz_olympique;;;;6.8530464;9.205818;1;52
marcell_takács;playsfor;hungary_national_under-19_football_team;marcell_takács;isaffiliatedto;újpest_fc;marcell_takács;isaffiliatedto;hungary_national_under-17_football_team;marcell_takács;playsfor;budapest_honvéd_fc;marcell_takács;playsfor;fc_schötz;4.792753;5.1640396;1;4
malik_asselah;playsfor;cr_belouizdad;malik_asselah;isaffiliatedto;cr_belouizdad;malik_asselah;playsfor;algeria_national_under-23_football_team;;;;;;;5.086461;6.0846395;1;3
fjodor_xhafa;playsfor;kf_elbasani;fjodor_xhafa;isaffiliatedto;flamurtari_vlorë;fjodor_xhafa;isaffiliatedto;kf_bylis_ballsh;;;;;;;4.740875;5.763625;1;2
aleksandr_stavpets;playsfor;fc_moscow;aleksandr_stavpets;playsfor;fc_krylia_sovetov_samara;;;;;;;;;;5.2964797;5.924202;1;11
luis_ignacio_quinteros;playsfor;club_deportivo_universidad_católica;luis_ignacio_quinteros;isaffiliatedto;club_deportivo_universidad_católica;luis_ignacio_quinteros;playsfor;unión_la_calera;luis_ignacio_quinteros;isaffiliatedto;club_de_gimnasia_y_esgrima_la_plata;luis_ignacio_quinteros;isaffiliatedto;club_león;2.5255456;3.539408;1;6
fernando_alves_santa_clara;playsfor;cruzeiro_esporte_clube;fernando_alves_santa_clara;playsfor;clube_atlético_mineiro;;;;;;;;;;2.918333;3.827334;1;4
anastasios_katsabis;playsfor;greece_national_football_team;anastasios_katsabis;isaffiliatedto;greece_national_football_team;anastasios_katsabis;wasbornin;athens;;;;;;;5.001092;6.179101;1;21
andy_williams_(welsh_footballer);playsfor;wales_national_football_team;andy_williams_(welsh_footballer);isaffiliatedto;wales_national_football_team;;;;;;;;;;5.0925407;7.0566607;1;9
yuriy_moroz;playsfor;fc_alania_vladikavkaz;yuriy_moroz;isaffiliatedto;fc_alania_vladikavkaz;;;;;;;;;;4.1945157;5.489567;1;39
edgar_álvarez;playsfor;cagliari_calcio;edgar_álvarez;isaffiliatedto;a.c.r._messina;;;;;;;;;;5.280546;5.101619;1;1
oleksandr_shovkovskiy;playsfor;ukraine_national_under-21_football_team;oleksandr_shovkovskiy;playsfor;fc_dynamo-2_kyiv;;;;;;;;;;3.7307138;3.4454587;1;5
mark_stallard;playsfor;chesterfield_f.c.;mark_stallard;playsfor;bradford_city_a.f.c.;;;;;;;;;;2.0413108;2.4894524;1;3
aitor_ramos;playsfor;barakaldo_cf;aitor_ramos;isaffiliatedto;barakaldo_cf;;;;;;;;;;5.3504705;5.8961563;1;17
mauricio_donoso;playsfor;deportes_antofagasta;mauricio_donoso;playsfor;club_universidad_de_chile;;;;;;;;;;2.7302113;3.2251432;1;1
amr_aly;playsfor;los_angeles_lazers;amr_aly;playsfor;brooklyn_italians;amr_aly;isaffiliatedto;new_york_express;amr_aly;playsfor;new_york_cosmos;;;;5.168328;5.776819;1;2
liam_tuohy_(footballer);playsfor;republic_of_ireland_national_football_team;liam_tuohy_(footballer);isaffiliatedto;republic_of_ireland_national_football_team;liam_tuohy_(footballer);wasbornin;dublin;;;;;;;3.2896304;5.620202;1;8
lothar_kurbjuweit;playsfor;east_germany_national_football_team;lothar_kurbjuweit;isaffiliatedto;tsv_stahl_riesa;;;;;;;;;;5.344636;5.303136;1;1
ahmed_bahja;playsfor;mas_fez;ahmed_bahja;isaffiliatedto;al_nassr_fc;;;;;;;;;;4.35535;4.925535;1;20
federico_vairo;playsfor;rosario_central;federico_vairo;isaffiliatedto;rosario_central;;;;;;;;;;4.6294556;3.80327;1;22
artur_voskanyan;playsfor;armenia_national_football_team;artur_voskanyan;isaffiliatedto;armenia_national_football_team;;;;;;;;;;4.6068325;5.925159;1;9
thomas_rongen;playsfor;chicago_sting;thomas_rongen;isaffiliatedto;chicago_sting;thomas_rongen;isaffiliatedto;fort_lauderdale_strikers_(1988–94);thomas_rongen;playsfor;fort_lauderdale_strikers_(1988–94);;;;4.4829564;4.9499865;1;1
jeff_barmby;playsfor;goole_a.f.c.;jeff_barmby;isaffiliatedto;goole_a.f.c.;;;;;;;;;;5.86625;6.8972435;1;8
bent_skammelsrud;playsfor;norway_national_football_team;bent_skammelsrud;playsfor;bayer_04_leverkusen;;;;;;;;;;4.4167585;3.5906272;1;1
phil_king_(footballer);playsfor;exeter_city_f.c.;phil_king_(footballer);isaffiliatedto;sheffield_wednesday_f.c.;phil_king_(footballer);isaffiliatedto;bath_city_f.c.;;;;;;;2.8925316;3.3508217;1;3
edin_ćurić;playsfor;yugoslavia_national_football_team;edin_ćurić;isaffiliatedto;yugoslavia_national_football_team;edin_ćurić;isaffiliatedto;fk_željezničar_sarajevo;;;;;;;7.0819817;9.146025;1;260
jim_st._andre;playsfor;milwaukee_wave;jim_st._andre;playsfor;wichita_wings;;;;;;;;;;4.194336;4.412088;1;1
benedict_vilakazi_(soccer);wasbornin;soweto;benedict_vilakazi_(soccer);isaffiliatedto;mamelodi_sundowns_f.c.;benedict_vilakazi_(soccer);playsfor;notwane_f.c.;;;;;;;6.4911385;6.7991266;1;1
gabriel_enrique_gómez;wasbornin;panama_city;gabriel_enrique_gómez;playsfor;envigado_f.c.;gabriel_enrique_gómez;playsfor;deportivo_pereira;;;;;;;7.090879;7.3024387;1;1
nikola_jerkan;wasbornin;split_croatia;nikola_jerkan;playsfor;hnk_cibalia;nikola_jerkan;playsfor;nk_zagreb;nikola_jerkan;isaffiliatedto;h.n.k._hajduk_split;;;;6.752067;7.439191;1;3
pablo_álvarez_menéndez;wasbornin;montevideo;pablo_álvarez_menéndez;isaffiliatedto;uruguay_national_football_team;pablo_álvarez_menéndez;hasgender;male;pablo_álvarez_menéndez;playsfor;reggina_calcio;pablo_álvarez_menéndez;isaffiliatedto;wisła_kraków;8.45746;9.321134;1;1
ljubiša_spajić;wasbornin;belgrade;ljubiša_spajić;isaffiliatedto;aris_thessaloniki_f.c.;;;;;;;;;;5.395754;6.3187914;1;1
otto_hemele;wasbornin;prague;otto_hemele;diedin;prague;otto_hemele;isaffiliatedto;dukla_prague;otto_hemele;isaffiliatedto;czechoslovakia_national_football_team;;;;6.663647;7.068605;1;3
joseph_stefan;worksat;university_of_vienna;joseph_stefan;livesin;austria;joseph_stefan;hasacademicadvisor;andreas_von_ettingshausen;joseph_stefan;diedin;vienna;ludwig_boltzmann;hasacademicadvisor;joseph_stefan;4.7408705;8.046424;1;2
