billy_halop;actedin;hell's_kitchen_(1939_film);billy_halop;actedin;sea_raiders;billy_halop;actedin;the_angels_wash_their_faces;billy_halop;actedin;on_dress_parade;billy_halop;actedin;crime_school;11.186914;7.7421613;1;22
fumaça_(footballer_born_1976);isaffiliatedto;barnsley_f.c.;fumaça_(footballer_born_1976);playsfor;barnsley_f.c.;;;;;;;;;;9.964664;4.98954;1;27
markus_heppke;isaffiliatedto;rot-weiss_essen;markus_heppke;playsfor;rot-weiss_essen;markus_heppke;isaffiliatedto;rot-weiß_oberhausen;markus_heppke;isaffiliatedto;fc_schalke_04;markus_heppke;isaffiliatedto;de/deutsche_fußballnationalmannschaft_(u-19-junioren);9.501044;6.22694;1;7
steven_n'zonzi;isaffiliatedto;amiens_sc;steven_n'zonzi;playsfor;amiens_sc;;;;;;;;;;9.71572;4.7591085;1;77
phil_harrington;isaffiliatedto;chester_city_f.c.;phil_harrington;playsfor;chester_city_f.c.;;;;;;;;;;10.140457;5.2974157;1;34
jürgen_macho;isaffiliatedto;chelsea_f.c.;jürgen_macho;playsfor;chelsea_f.c.;;;;;;;;;;9.630463;2.2486413;1;669
félix_ricardo_torres;isaffiliatedto;club_atlético_platense;félix_ricardo_torres;playsfor;club_atlético_platense;;;;;;;;;;9.947815;5.0624337;1;61
janício_martins;isaffiliatedto;s.c.u._torreense;janício_martins;playsfor;s.c.u._torreense;;;;;;;;;;9.259438;3.7041678;1;58
ahmad_momenzadeh;isaffiliatedto;foolad_f.c.;ahmad_momenzadeh;playsfor;foolad_f.c.;;;;;;;;;;10.091197;5.7054014;1;20
césar_pellegrín;isaffiliatedto;deportivo_maldonado;césar_pellegrín;isaffiliatedto;central_español;césar_pellegrín;isaffiliatedto;danubio_f.c.;césar_pellegrín;isaffiliatedto;club_nacional_de_football;césar_pellegrín;isaffiliatedto;uruguay_national_football_team;9.972744;9.504835;1;4
tyrone_marshall;isaffiliatedto;jamaica_national_football_team;tyrone_marshall;playsfor;jamaica_national_football_team;;;;;;;;;;9.91627;5.9877763;1;13
darnell_mee;isaffiliatedto;continental_basketball_association;darnell_mee;isaffiliatedto;yakima_sun_kings;darnell_mee;hasgender;male;darnell_mee;isaffiliatedto;lega_basket_serie_a;darnell_mee;isaffiliatedto;national_basketball_league_(australia);8.506555;7.387487;1;2
tetsuya_asano;isaffiliatedto;nagoya_grampus;tetsuya_asano;playsfor;nagoya_grampus;tetsuya_asano;hasgender;male;tetsuya_asano;playsfor;japan_national_football_team;tetsuya_asano;isaffiliatedto;urawa_red_diamonds;9.842428;4.381623;1;13
dado_pršo;isaffiliatedto;nk_pazinka;dado_pršo;isaffiliatedto;hnk_hajduk_split;dado_pršo;isaffiliatedto;a.c._ajaccio;dado_pršo;isaffiliatedto;a.s._monaco_f.c.;dado_pršo;isaffiliatedto;as_monaco_fc;9.456441;9.225106;1;3
alan_sunderland;isaffiliatedto;england_national_football_b_team;alan_sunderland;playsfor;england_national_football_b_team;alan_sunderland;isaffiliatedto;wolverhampton_wanderers_f.c.;alan_sunderland;isaffiliatedto;england_national_football_team;alan_sunderland;isaffiliatedto;arsenal_f.c.;9.534369;4.4550223;1;19
gérald_passi;isaffiliatedto;montpellier_hsc;gérald_passi;playsfor;montpellier_hsc;gérald_passi;isaffiliatedto;as_monaco_fc;gérald_passi;isaffiliatedto;montpellier_h.s.c.;gérald_passi;isaffiliatedto;as_saint-étienne;9.810757;5.239866;1;29
thomas_kleine;isaffiliatedto;germany_national_football_b_team;thomas_kleine;playsfor;germany_national_football_b_team;;;;;;;;;;9.051148;4.0007834;1;63
santiago_cañizares;isaffiliatedto;spain_national_football_team;santiago_cañizares;isaffiliatedto;elche_c.f.;santiago_cañizares;isaffiliatedto;real_madrid_c.f.;santiago_cañizares;isaffiliatedto;spain_national_under-21_football_team;santiago_cañizares;isaffiliatedto;spain_national_under-18_football_team;8.723984;7.439065;1;7
mariusz_ujek;isaffiliatedto;zagłębie_sosnowiec;mariusz_ujek;playsfor;zagłębie_sosnowiec;mariusz_ujek;isaffiliatedto;polonia_bytom;mariusz_ujek;isaffiliatedto;gks_bełchatów;mariusz_ujek;isaffiliatedto;zagłębie_lubin;10.11274;7.122428;1;6
róbert_vittek;isaffiliatedto;1._fc_nuremberg;róbert_vittek;isaffiliatedto;1._fc_nürnberg;róbert_vittek;playsfor;1._fc_nürnberg;;;;;;;8.830595;4.488672;1;66
jordy_clasie;isaffiliatedto;feyenoord;jordy_clasie;playsfor;feyenoord;jordy_clasie;playsfor;s.b.v._excelsior;jordy_clasie;hasgender;male;jordy_clasie;isaffiliatedto;netherlands_national_football_team;9.742213;5.9918604;1;5
abdikokhor_marifaliev;isaffiliatedto;navbahor_namangan;abdikokhor_marifaliev;playsfor;navbahor_namangan;abdikokhor_marifaliev;isaffiliatedto;fc_kyzylzhar;abdikokhor_marifaliev;isaffiliatedto;pakhtakor_tashkent_fk;abdikokhor_marifaliev;isaffiliatedto;lokomotiv_tashkent_fk;9.579206;4.8093743;1;13
colorado_springs_airport;isconnectedto;salt_lake_city_international_airport;salt_lake_city_international_airport;isconnectedto;colorado_springs_airport;colorado_springs_airport;isconnectedto;seattle–tacoma_international_airport;colorado_springs_airport;isconnectedto;san_francisco_international_airport;colorado_springs_airport;isconnectedto;dallas/fort_worth_international_airport;10.0493765;8.09604;1;7
saint-augustin_airport;isconnectedto;tête-à-la-baleine_airport;saint-augustin_airport;isconnectedto;la_tabatière_airport;saint-augustin_airport;isconnectedto;chevery_airport;saint-augustin_airport;isconnectedto;lourdes-de-blanc-sablon_airport;saint-augustin_airport;isconnectedto;kegaska_airport;10.340551;10.342516;1;4
jürgen_habermas;isinterestedin;political_philosophy;john_rawls;influences;jürgen_habermas;jürgen_habermas;hasgender;male;immanuel_kant;influences;jürgen_habermas;karl_marx;influences;jürgen_habermas;11.660901;11.462567;1;1
maitland_florida;islocatedin;florida;maitland_florida;islocatedin;orange_county_(florida);maitland_florida;islocatedin;united_states;maitland_florida;islocatedin;orange_county_florida;;;;8.905705;4.29174;1;8
naughty_dog;islocatedin;california;naughty_dog;islocatedin;santa_monica_california;naughty_dog;created;crash_bandicoot;;;;;;;7.941422;6.993256;1;2
penarth;islocatedin;wales;penarth;islocatedin;south_wales;penarth;islocatedin;united_kingdom;penarth;islocatedin;glamorgan;penarth;islocatedin;vale_of_glamorgan;9.030945;3.882562;1;4
wallace_mccain;livesin;ontario;wallace_mccain;livesin;toronto;wallace_mccain;diedin;toronto;wallace_mccain;haswonprize;order_of_canada;;;;8.378553;3.5989726;1;8
republic_of_genoa;participatedin;battle_of_crécy;battle_of_crécy;happenedin;republic_of_genoa;republic_of_genoa;participatedin;english_channel_naval_campaign_(1338–1339);;;;;;;11.954094;9.708308;1;37
mauricio_almada;playsfor;deportivo_merlo;mauricio_almada;isaffiliatedto;deportivo_merlo;;;;;;;;;;10.091831;3.471853;1;88
cristian_ianu;playsfor;fc_wohlen;cristian_ianu;isaffiliatedto;fc_wohlen;cristian_ianu;playsfor;fc_luzern;cristian_ianu;playsfor;fc_aarau;cristian_ianu;playsfor;ac_bellinzona;10.176417;4.6426797;1;38
mevlüt_erdinç;playsfor;paris_saint-germain_f.c.;mevlüt_erdinç;isaffiliatedto;paris_saint-germain_f.c.;;;;;;;;;;9.92828;5.2026052;1;45
wim_suurbier;playsfor;afc_ajax;wim_suurbier;isaffiliatedto;afc_ajax;wim_suurbier;isaffiliatedto;a.f.c._ajax;;;;;;;10.157594;6.209033;1;17
alan_o'neill_(footballer_born_1957);playsfor;shamrock_rovers_f.c.;alan_o'neill_(footballer_born_1957);isaffiliatedto;shamrock_rovers_f.c.;alan_o'neill_(footballer_born_1957);playsfor;sligo_rovers_f.c.;alan_o'neill_(footballer_born_1957);playsfor;dundalk_f.c.;alan_o'neill_(footballer_born_1957);hasgender;male;10.659566;7.4122148;1;4
martin_kayongo-mutumba;playsfor;uganda_national_football_team;martin_kayongo-mutumba;isaffiliatedto;uganda_national_football_team;;;;;;;;;;9.590147;-0.42409006;1;4238
yakubu_abubakar_akilu;playsfor;fc_hjørring;yakubu_abubakar_akilu;isaffiliatedto;fc_hjørring;yakubu_abubakar_akilu;playsfor;fc_fredericia;;;;;;;9.597553;3.5514495;1;33
darijan_matič;playsfor;bnei_sakhnin_f.c.;darijan_matič;isaffiliatedto;bnei_sakhnin_f.c.;;;;;;;;;;10.221523;4.788885;1;78
léider_preciado;playsfor;racing_de_santander;léider_preciado;isaffiliatedto;racing_de_santander;léider_preciado;isaffiliatedto;racing_club_de_santander;;;;;;;10.647223;3.9663782;1;151
srdjan_luchin;playsfor;romania_national_football_team;srdjan_luchin;isaffiliatedto;romania_national_football_team;srdjan_luchin;playsfor;fc_politehnica_ii_timișoara;srdjan_luchin;isaffiliatedto;fc_dinamo_bucurești;srdjan_luchin;playsfor;pfc_botev_plovdiv;9.221161;6.9709563;1;3
jody_morris;playsfor;millwall_f.c.;jody_morris;isaffiliatedto;millwall_f.c.;jody_morris;wasbornin;london;;;;;;;10.275754;5.9626994;1;10
laryea_kingston;playsfor;heart_of_midlothian_f.c.;laryea_kingston;isaffiliatedto;heart_of_midlothian_f.c.;;;;;;;;;;10.243646;3.100006;1;397
christian_mcclean;playsfor;swansea_city_a.f.c.;christian_mcclean;isaffiliatedto;swansea_city_a.f.c.;;;;;;;;;;10.07344;4.072131;1;70
ian_bogie;playsfor;bedlington_terriers_f.c.;ian_bogie;playsfor;newcastle_united_f.c.;ian_bogie;playsfor;gateshead_f.c.;ian_bogie;playsfor;kidderminster_harriers_f.c.;ian_bogie;playsfor;leyton_orient_f.c.;9.551779;9.42126;1;5
stu_riddle;playsfor;greenock_morton_f.c.;stu_riddle;isaffiliatedto;greenock_morton_f.c.;;;;;;;;;;10.005321;1.7215794;1;1048
chris_sulley;playsfor;dundee_united_f.c.;chris_sulley;isaffiliatedto;dundee_united_f.c.;;;;;;;;;;9.927814;3.674328;1;111
dean_gordon;playsfor;crystal_palace_f.c.;dean_gordon;isaffiliatedto;crystal_palace_f.c.;dean_gordon;playsfor;middlesbrough_f.c.;dean_gordon;playsfor;coventry_city_f.c.;dean_gordon;playsfor;reading_f.c.;10.391139;6.778116;1;24
sergey_timofeev;playsfor;fc_kyzylzhar;sergey_timofeev;isaffiliatedto;fc_kyzylzhar;sergey_timofeev;playsfor;fc_kairat;sergey_timofeev;playsfor;fc_sokol_saratov;;;;10.048546;6.741889;1;10
lukáš_magera;playsfor;sk_kladno;lukáš_magera;isaffiliatedto;sk_kladno;;;;;;;;;;10.1834955;5.5976205;1;16
andrea_orlandi;playsfor;fc_barcelona;andrea_orlandi;playsfor;deportivo_alavés_b;andrea_orlandi;playsfor;deportivo_alavés;andrea_orlandi;playsfor;swansea_city_a.f.c.;andrea_orlandi;playsfor;fc_barcelona_b;9.749051;9.347259;1;3
chris_turner_(footballer_born_1990);playsfor;burnley_f.c.;chris_turner_(footballer_born_1990);isaffiliatedto;burnley_f.c.;;;;;;;;;;10.17964;5.069001;1;50
mykhaylo_forkash;playsfor;fc_zorya_luhansk;mykhaylo_forkash;isaffiliatedto;fc_zorya_luhansk;mykhaylo_forkash;playsfor;fc_volyn_lutsk;mykhaylo_forkash;hasgender;male;mykhaylo_forkash;wasbornin;uzhhorod;9.840891;5.8254814;1;3
grzegorz_podstawek;playsfor;kszo_ostrowiec_świętokrzyski;grzegorz_podstawek;isaffiliatedto;kszo_ostrowiec_świętokrzyski;;;;;;;;;;9.472238;5.984733;1;20
azar_karadas;playsfor;kasımpaşa_spor_kulübü;azar_karadas;isaffiliatedto;kasımpaşa_spor_kulübü;;;;;;;;;;10.184913;2.483961;1;451
derek_mcwilliams;playsfor;airdrieonians_f.c._(1878);derek_mcwilliams;isaffiliatedto;airdrieonians_f.c._(1878);;;;;;;;;;10.39512;5.446524;1;38
vedran_celiščak;playsfor;dalian_shide_f.c.;vedran_celiščak;isaffiliatedto;dalian_shide_f.c.;;;;;;;;;;10.117927;1.7889043;1;747
steve_mautone;playsfor;canberra_cosmos_fc;steve_mautone;isaffiliatedto;canberra_cosmos_fc;steve_mautone;playsfor;melbourne_victory_fc;steve_mautone;playsfor;blacktown_city_fc;steve_mautone;playsfor;parramatta_fc;10.125108;3.7630615;1;193
kieran_charnock;playsfor;peterborough_united_f.c.;kieran_charnock;isaffiliatedto;peterborough_united_f.c.;;;;;;;;;;10.298274;5.016377;1;86
dedi_ben_dayan;playsfor;maccabi_tel_aviv_f.c.;dedi_ben_dayan;isaffiliatedto;maccabi_tel_aviv_f.c.;dedi_ben_dayan;playsfor;maccabi_netanya_f.c.;dedi_ben_dayan;playsfor;hapoel_petah_tikva_f.c.;dedi_ben_dayan;playsfor;hapoel_ironi_acre_f.c.;10.356521;7.8792667;1;8
mike_twellman;playsfor;dallas_sidekicks_(1984–2004);mike_twellman;isaffiliatedto;dallas_sidekicks_(1984–2004);;;;;;;;;;9.939923;3.53803;1;44
marc_wilson_(irish_footballer);playsfor;a.f.c._bournemouth;marc_wilson_(irish_footballer);isaffiliatedto;a.f.c._bournemouth;marc_wilson_(irish_footballer);playsfor;portsmouth_f.c.;marc_wilson_(irish_footballer);isaffiliatedto;republic_of_ireland_national_football_team;marc_wilson_(irish_footballer);hasgender;male;10.185992;5.0085707;1;22
vlatko_đolonga;playsfor;deportivo_alavés;vlatko_đolonga;isaffiliatedto;deportivo_alavés;;;;;;;;;;10.174706;2.3136966;1;278
feridun_sungur;playsfor;elazığspor;feridun_sungur;isaffiliatedto;elazığspor;;;;;;;;;;9.424069;5.718642;1;24
sven_benken;playsfor;f.c._hansa_rostock;sven_benken;isaffiliatedto;f.c._hansa_rostock;sven_benken;playsfor;fc_energie_cottbus;sven_benken;isaffiliatedto;hansa_rostock;;;;10.275907;4.052604;1;30
rené_bot;playsfor;feyenoord;rené_bot;isaffiliatedto;feyenoord;;;;;;;;;;10.088839;3.9136288;1;29
luke_steele_(footballer);playsfor;barnsley_f.c.;luke_steele_(footballer);isaffiliatedto;barnsley_f.c.;;;;;;;;;;10.241514;5.592436;1;23
kenneth_udjus;playsfor;sk_brann;kenneth_udjus;isaffiliatedto;sk_brann;kenneth_udjus;playsfor;lillestrøm_sk;kenneth_udjus;playsfor;fk_tønsberg;kenneth_udjus;playsfor;tromsø_il;10.285631;7.167093;1;6
leonīds_ostrovskis;playsfor;fc_mashuk-kmv_pyatigorsk;leonīds_ostrovskis;isaffiliatedto;fc_mashuk-kmv_pyatigorsk;;;;;;;;;;9.484733;1.8904903;1;433
florin_stângă;playsfor;fc_brașov;florin_stângă;playsfor;cs_juventus_bucurești;florin_stângă;playsfor;cs_pandurii_târgu_jiu;florin_stângă;playsfor;asa_târgu_mureș_(2013);florin_stângă;playsfor;as_cimentul_fieni;9.972211;9.691247;1;1
hamed_rasouli;playsfor;sepahan_novin_f.c.;hamed_rasouli;isaffiliatedto;sepahan_novin_f.c.;hamed_rasouli;isaffiliatedto;sepahan_isfahan_f.c.;hamed_rasouli;playsfor;sepahan_isfahan_f.c.;;;;9.265009;2.7075877;1;45
danny_lennon;playsfor;ayr_united_f.c.;danny_lennon;isaffiliatedto;ayr_united_f.c.;;;;;;;;;;10.07169;5.441384;1;36
joseph_kamwendo;playsfor;mighty_wanderers_f.c.;joseph_kamwendo;playsfor;malawi_national_football_team;joseph_kamwendo;playsfor;caps_united_f.c.;joseph_kamwendo;playsfor;liga_muçulmana_de_maputo;joseph_kamwendo;playsfor;vasco_da_gama_(south_africa);9.881422;8.851749;1;4
i̇skender_alın;wasbornin;istanbul;i̇skender_alın;isaffiliatedto;i̇stanbul_büyükşehir_belediyespor_(football);i̇skender_alın;playsfor;i̇stanbul_başakşehir_f.k.;i̇skender_alın;hasgender;male;i̇skender_alın;playsfor;fenerbahçe_s.k.;9.546727;9.061572;1;1
