mickey_daniels;actedin;the_big_show_(1923_film);mickey_daniels;actedin;the_champeen;mickey_daniels;actedin;stage_fright_(1923_film);mickey_daniels;actedin;a_quiet_street;;;;0.7477170825004578;0.4404257535934448;1;3
jesús_turiel;isaffiliatedto;real_valladolid_b;jesús_turiel;playsfor;real_valladolid_b;;;;;;;;;;0.6834033727645874;0.026895739138126373;1;7
spencer_evans;isaffiliatedto;port_vale_f.c.;spencer_evans;playsfor;port_vale_f.c.;;;;;;;;;;0.8752545714378357;0.009838301688432693;1;5
vasil_gigiadze;isaffiliatedto;fc_samtredia;vasil_gigiadze;isaffiliatedto;fc_torpedo_kutaisi;vasil_gigiadze;isaffiliatedto;fc_dinamo_tbilisi;vasil_gigiadze;isaffiliatedto;sc_tavriya_simferopol;;;;0.8168389201164246;0.6927400827407837;1;4
nassim_ben_khalifa;isaffiliatedto;switzerland_national_under-17_football_team;nassim_ben_khalifa;playsfor;bsc_young_boys;;;;;;;;;;0.8082879781723022;0.7295018434524536;1;2
daouda_kanté;isaffiliatedto;st._louis_steamers_(1998–2006);daouda_kanté;isaffiliatedto;central_jersey_riptide;;;;;;;;;;0.7687826752662659;0.703441858291626;1;1
jacques_glassmann;isaffiliatedto;tours_fc;jacques_glassmann;isaffiliatedto;rc_strasbourg;jacques_glassmann;playsfor;tours_fc;;;;;;;0.7404959201812744;0.14091451466083527;1;2
cheikh_gueye;isaffiliatedto;fc_metz;cheikh_gueye;isaffiliatedto;f.c._metz;;;;;;;;;;0.913704514503479;0.7682864665985107;1;1
baie-comeau_airport;isconnectedto;sept-îles_airport;sept-îles_airport;isconnectedto;baie-comeau_airport;baie-comeau_airport;isconnectedto;wabush_airport;;;;;;;0.9220842719078064;0.6312423348426819;1;5
gujarat;islocatedin;gandhinagar;banaskantha_district;islocatedin;gujarat;;;;;;;;;;0.5957318544387817;0.5547792315483093;1;1
järva_county;islocatedin;paide;koigi_parish;islocatedin;järva_county;järva_county;hascapital;paide;;;;;;;0.5622095465660095;0.20381301641464233;1;1
kostas_chalkias;playsfor;real_murcia;kostas_chalkias;isaffiliatedto;real_murcia;;;;;;;;;;0.8414570093154907;0.07573334127664566;1;3
paíto;playsfor;sporting_clube_de_portugal;paíto;playsfor;s.c._braga;paíto;playsfor;sporting_clube_de_portugal_b;;;;;;;0.8967925310134888;0.8666055202484131;1;1
lamin_conteh;playsfor;sierra_leone_national_football_team;lamin_conteh;isaffiliatedto;sierra_leone_national_football_team;;;;;;;;;;0.8024376630783081;0.1007411926984787;1;1
carlos_trucco;playsfor;oriente_petrolero;carlos_trucco;playsfor;bolivia_national_football_team;carlos_trucco;playsfor;c.f._pachuca;;;;;;;0.9345929026603699;0.78759765625;1;1
lionel_ainsworth;playsfor;wycombe_wanderers_f.c.;lionel_ainsworth;isaffiliatedto;wycombe_wanderers_f.c.;;;;;;;;;;0.8227583765983582;0.04289212077856064;1;4
evgheni_hmaruc;playsfor;fc_dinamo-auto_tiraspol;evgheni_hmaruc;playsfor;fc_rapid_ghidighici;evgheni_hmaruc;isaffiliatedto;fc_dinamo-auto_tiraspol;;;;;;;0.6816588044166565;0.005184496287256479;1;85
terry_boss;playsfor;cascade_surge;terry_boss;playsfor;tulsa_golden_hurricane_men's_soccer;terry_boss;playsfor;charlotte_eagles;;;;;;;0.8830544948577881;0.8575634956359863;1;2
antonio_sabato_(footballer);playsfor;u.s._sambenedettese_1923;antonio_sabato_(footballer);isaffiliatedto;u.s._sambenedettese_1923;;;;;;;;;;0.9171631336212158;0.0006126074586063623;1;137
john_nutter;playsfor;wycombe_wanderers_f.c.;john_nutter;playsfor;stevenage_f.c.;;;;;;;;;;0.7811571955680847;0.8127273321151733;1;1
bonni_ginzburg;playsfor;beitar_jerusalem_f.c.;bonni_ginzburg;isaffiliatedto;beitar_jerusalem_f.c.;;;;;;;;;;0.9232859015464783;0.04683241993188858;1;11
tony_jantschke;playsfor;germany_national_youth_football_team;tony_jantschke;playsfor;borussia_mönchengladbach;;;;;;;;;;0.9426915049552917;0.9427961707115173;1;1
saša_radivojević;playsfor;fk_radnički_beograd;saša_radivojević;playsfor;pegah_f.c.;;;;;;;;;;0.901197612285614;0.8105784058570862;1;1
vitālijs_astafjevs;playsfor;jfk_olimps;vitālijs_astafjevs;isaffiliatedto;jfk_olimps;;;;;;;;;;0.9257939457893372;0.09852004051208496;1;3
patrick_mayo;playsfor;bay_united_f.c.;patrick_mayo;isaffiliatedto;bay_united_f.c.;patrick_mayo;playsfor;bush_bucks_f.c._(1957);;;;;;;0.7683059573173523;0.007918731309473515;1;11
maniche;playsfor;fc_dynamo_moscow;maniche;isaffiliatedto;fc_dynamo_moscow;;;;;;;;;;0.6556440591812134;0.022987034171819687;1;4
gonzalo_novoa;playsfor;club_universidad_de_chile;gonzalo_novoa;playsfor;deportes_valdivia;;;;;;;;;;0.9260214567184448;0.8948017358779907;1;1
philip_wadler;worksat;carnegie_mellon_university;philip_wadler;worksat;chalmers_university_of_technology;;;;;;;;;;0.8959771990776062;0.9146450161933899;1;1
leonard_eugene_dickson;worksat;university_of_chicago;leonard_eugene_dickson;wasbornin;independence_iowa;leonard_eugene_dickson;hasacademicadvisor;e._h._moore;leonard_eugene_dickson;graduatedfrom;university_of_chicago;;;;0.991166889667511;0.05362173169851303;1;9
toyah_willcox;wrotemusicfor;jubilee_(1978_film);toyah_willcox;actedin;jubilee_(1978_film);;;;;;;;;;0.8847954869270325;0.010182015597820282;1;4
