01865197;_also_see;00643250;00643250;_also_see;01865197;01865197;_also_see;02331262;02331262;_also_see;01865197;01865197;_also_see;01001689;0.9376714825630188;0.0012053410755470395;1;129
01637982;_derivationally_related_form;00043195;00043195;_derivationally_related_form;01637982;01637982;_derivationally_related_form;07214432;01637982;_derivationally_related_form;05808218;01637982;_derivationally_related_form;10214637;0.9837179780006409;0.2151605635881424;1;8
00339085;_derivationally_related_form;00358089;00358089;_derivationally_related_form;00339085;00339085;_derivationally_related_form;03141702;03141702;_derivationally_related_form;00339085;;;;0.910344123840332;0.0005641356692649424;1;23
02041678;_derivationally_related_form;01060198;01060198;_derivationally_related_form;02041678;02041678;_derivationally_related_form;01052782;01052782;_derivationally_related_form;02041678;02041678;_hypernym;02041246;0.7990843653678894;1.8541384633863345e-05;1;21978
09102016;_has_part;09103648;09103648;_part_of;09102016;09102016;_has_part;09103377;09102016;_has_part;09102883;;;;0.9289811849594116;0.0006787659367546439;1;1673
09189411;_has_part;08717209;09189411;_has_part;08734385;09189411;_has_part;08716219;09189411;_has_part;08999482;09189411;_has_part;08962610;0.9822483062744141;0.9791731834411621;1;3
15181718;_has_part;15241777;15241777;_part_of;15181718;15181718;_has_part;15242029;15181718;_has_part;15242719;15242719;_part_of;15181718;0.8675641417503357;9.561519982526079e-05;1;2342
05461179;_has_part;05254795;05254795;_part_of;05461179;05238282;_part_of;05461179;05461179;_has_part;05581693;05461179;_has_part;05328232;0.9576953649520874;8.94552213139832e-05;1;7094
00028651;_has_part;00027167;00027167;_part_of;00028651;08502171;_part_of;00028651;00024264;_hyponym;00028651;08001685;_hypernym;00028651;0.9887542724609375;3.257235584896989e-05;1;11672
00657604;_has_part;00153105;00153105;_part_of;00657604;00661091;_hypernym;00657604;;;;;;;0.9599359035491943;0.00032813535653986037;1;1532
03852280;_has_part;03656484;03656484;_part_of;03852280;03852280;_hyponym;04273064;04273064;_hypernym;03852280;04009552;_hypernym;03852280;0.9116550087928772;0.0005694797146134079;1;229
03220692;_hypernym;04295881;04295881;_hyponym;03220692;;;;;;;;;;0.9642817378044128;1.2687283742707223e-05;1;22753
03228016;_hypernym;02817799;02817799;_hyponym;03228016;03838899;_hypernym;03228016;03228016;_hyponym;02804610;;;;0.9639164209365845;0.00044953112956136465;1;189
00356199;_hypernym;00351638;00351638;_hyponym;00356199;00356621;_hypernym;00356199;00356367;_hypernym;00356199;;;;0.988192617893219;3.995483712060377e-05;1;17891
12290748;_hypernym;11669921;11669921;_hyponym;12290748;12290522;_member_meronym;12290748;12290748;_member_holonym;12290522;;;;0.9972483515739441;2.9036409614491276e-05;1;1324
02156532;_hypernym;05559908;05559908;_hyponym;02156532;01306654;_derivationally_related_form;02156532;02156532;_derivationally_related_form;01306654;01456771;_derivationally_related_form;02156532;0.9666460752487183;0.00021310972806531936;1;665
03070193;_hypernym;02670382;02670382;_hyponym;03070193;;;;;;;;;;0.9505458474159241;3.337463203934021e-05;1;788
10609686;_hypernym;00007846;00007846;_hyponym;10609686;;;;;;;;;;0.9977543950080872;0.0005199663573876023;1;1
08289089;_hypernym;08288753;08288753;_hyponym;08289089;08289089;_hypernym;08369406;08369406;_hyponym;08289089;;;;0.8526865243911743;9.931994281942025e-05;1;3190
10384610;_hypernym;10004282;10004282;_hyponym;10384610;10384610;_derivationally_related_form;06048552;06048552;_derivationally_related_form;10384610;;;;0.9382321834564209;1.973949110833928e-05;1;5630
10141811;_hypernym;10162991;10162991;_hyponym;10141811;08029421;_member_meronym;10141811;;;;;;;0.9869591593742371;7.51658308217884e-06;1;38350
01792097;_hypernym;01790020;01790020;_hyponym;01792097;01792097;_hyponym;01790739;;;;;;;0.9831646084785461;0.0013411606196314096;1;9
07513508;_hypernym;00026192;00026192;_hyponym;07513508;07513508;_hyponym;07514345;07514345;_hypernym;07513508;;;;0.9877326488494873;1.0921154171228409e-05;1;29536
00195569;_hypernym;00191142;00191142;_hyponym;00195569;;;;;;;;;;0.9895004630088806;0.0021508007775992155;1;27
03339296;_hypernym;04188643;04188643;_hyponym;03339296;03339296;_hypernym;04605726;04605726;_hyponym;03339296;;;;0.9235888123512268;5.608948868029984e-06;1;38589
06972311;_hypernym;06972090;06972090;_hyponym;06972311;;;;;;;;;;0.9364097714424133;1.3635895811603405e-05;1;19089
01385017;_hypernym;01384687;01384687;_hyponym;01385017;00889490;_derivationally_related_form;01385017;;;;;;;0.9674795866012573;9.021451660373714e-06;1;37566
04170037;_hypernym;04576211;04576211;_hyponym;04170037;;;;;;;;;;0.9710811972618103;0.0002175383997382596;1;967
10252354;_hypernym;13950812;13950812;_hyponym;10252354;09927451;_hyponym;10252354;10252354;_hypernym;09927451;;;;0.7924441695213318;1.6155272533069365e-05;1;11566
11972141;_hypernym;11579418;11579418;_hyponym;11972141;11911591;_member_meronym;11972141;11972141;_member_holonym;11911591;;;;0.9970266222953796;0.00015752651961520314;1;11
13421462;_hypernym;05898568;05898568;_hyponym;13421462;;;;;;;;;;0.9931394457817078;1.6456850062240846e-05;1;33072
08159924;_hypernym;07971582;07971582;_hyponym;08159924;08153437;_hyponym;08159924;08159924;_hypernym;08153437;;;;0.9028627276420593;3.002225093950983e-05;1;1162
04787763;_hypernym;04787530;04787530;_hyponym;04787763;;;;;;;;;;0.8053256869316101;1.2544438504846767e-05;1;23336
04433585;_hypernym;02886599;02886599;_hyponym;04433585;;;;;;;;;;0.9671069383621216;8.501370757585391e-05;1;3586
10362003;_hypernym;00007846;00007846;_hyponym;10362003;;;;;;;;;;0.9981075525283813;0.0005208207294344902;1;1
00652659;_hypernym;00633864;00633864;_hyponym;00652659;;;;;;;;;;0.9793748259544373;3.4781343856593594e-05;1;12576
02308325;_hypernym;01762525;01762525;_hyponym;02308325;02306159;_member_meronym;02308325;02308325;_member_holonym;02306159;;;;0.9983488321304321;9.081901953322813e-05;1;48
07030718;_hypernym;07028373;07028373;_hyponym;07030718;;;;;;;;;;0.9897626042366028;0.00010247862519463524;1;4268
10112591;_hyponym;09877951;09877951;_hypernym;10112591;10300154;_hypernym;10112591;09954639;_hypernym;10112591;10112591;_hyponym;09954639;0.9163957834243774;2.0721281543956138e-05;1;29120
08053576;_hyponym;08055150;08053576;_hyponym;08100907;08053576;_hyponym;08054721;08053576;_hyponym;08058098;08053576;_hyponym;08276342;0.9624099731445312;0.8858859539031982;1;4
13112664;_hyponym;12680402;13112664;_hyponym;12680864;13112664;_hyponym;12681141;13112664;_hyponym;12902662;13112664;_hyponym;12011620;0.9781370759010315;0.9814116358757019;1;6
02203362;_hyponym;02204242;02204242;_hypernym;02203362;02203362;_hyponym;02302220;02203362;_hyponym;02202928;02203362;_hyponym;01184625;0.9725799560546875;0.0012392244534566998;1;535
01864707;_hyponym;02353709;01864707;_hyponym;02354470;01864707;_hyponym;02134240;01864707;_hyponym;02455584;02367678;_hypernym;01864707;0.9258869290351868;0.9848082065582275;1;9
02018049;_hyponym;01979462;01979462;_hypernym;02018049;02018372;_hypernym;02018049;02018049;_hyponym;02018372;;;;0.91107577085495;2.520707766962005e-06;1;37935
10702781;_hyponym;10155222;10155222;_hypernym;10702781;10702781;_hyponym;10610850;10610850;_hypernym;10702781;10702615;_derivationally_related_form;10702781;0.8872800469398499;0.0028870156966149807;1;23
05867413;_hyponym;15257692;05867413;_hyponym;15257553;05867413;_hyponym;15255641;05867413;_hyponym;15258281;05867413;_hyponym;15258694;0.9631585478782654;0.9726390242576599;1;4
00015388;_hyponym;02152740;00015388;_hyponym;01908958;00015388;_hyponym;01316949;00015388;_hyponym;01319187;00015388;_hyponym;01315330;0.9512134790420532;0.9487309455871582;1;3
10372373;_hyponym;10516874;10372373;_hyponym;10512562;10372373;_hyponym;09880427;10372373;_hyponym;10373801;;;;0.9535377025604248;0.9529578685760498;1;4
01094725;_hyponym;00811661;01094725;_hyponym;01105259;01094725;_hyponym;01104637;01094725;_hyponym;01101958;01094725;_hyponym;00298161;0.9460063576698303;0.9241579174995422;1;4
11562747;_hyponym;12290116;11562747;_hyponym;12484413;11562747;_hyponym;13233012;11562747;_hyponym;12327209;;;;0.9619428515434265;0.9722612500190735;1;3
00824767;_hyponym;00824292;00824292;_hypernym;00824767;00824767;_derivationally_related_form;10561861;10561861;_derivationally_related_form;00824767;;;;0.9396242499351501;0.0002954170049633831;1;2054
13112664;_hyponym;12374418;13112664;_hyponym;12231918;13112664;_hyponym;12182615;13112664;_hyponym;12238913;13112664;_hyponym;12372233;0.9804573655128479;0.9824234247207642;1;6
10582746;_hyponym;10028765;10028765;_hypernym;10582746;10582746;_hyponym;10369955;10582746;_hyponym;09811852;;;;0.9463892579078674;0.004532541614025831;1;184
05559908;_hyponym;01768596;05559908;_hyponym;05560244;05559908;_hyponym;05566097;05559908;_hyponym;02466132;05559908;_hyponym;02585446;0.9268152117729187;0.9844058156013489;1;5
01494310;_hyponym;01611240;01494310;_hyponym;01469263;01494310;_hyponym;01497292;01494310;_hyponym;01493619;01494310;_hyponym;01988458;0.9306734204292297;0.9556127786636353;1;5
14096724;_hyponym;14553590;14553590;_hypernym;14096724;14096724;_hyponym;14553290;14553290;_hypernym;14096724;14096724;_hyponym;14554011;0.9232708215713501;3.2832449505804107e-05;1;18376
08472335;_hyponym;08321218;08321218;_hypernym;08472335;08472335;_hyponym;08392137;08472335;_hyponym;08320385;08320385;_hypernym;08472335;0.9007357358932495;9.719035733724013e-05;1;8229
07809368;_hyponym;07822323;07809368;_hyponym;07812662;07809368;_hyponym;07827130;07809368;_hyponym;07827410;07809368;_hyponym;07827750;0.9775854349136353;0.9623725414276123;1;4
01864707;_hyponym;02458675;01864707;_hyponym;02134240;01864707;_hyponym;02455584;01864707;_hyponym;02067462;01864707;_hyponym;02350537;0.9814908504486084;0.9861714243888855;1;9
01864707;_hyponym;02078159;01864707;_hyponym;02078436;01864707;_hyponym;02078882;01864707;_hyponym;02455584;01864707;_hyponym;02116322;0.9621270895004272;0.9880443215370178;1;8
00058743;_hyponym;00059127;00059127;_hypernym;00058743;00058743;_hyponym;00060201;00059989;_hypernym;00058743;00058743;_hyponym;00059989;0.8198800683021545;3.7561865156021668e-06;1;35161
04733640;_hyponym;04735929;04735929;_hypernym;04733640;04733640;_hyponym;04734885;04733640;_hyponym;04735233;04734885;_hypernym;04733640;0.8747388124465942;3.668702265713364e-05;1;22526
05652396;_hyponym;05654362;05654362;_hypernym;05652396;05652396;_hyponym;05657718;05652396;_hyponym;05658226;05652396;_hyponym;05658603;0.9587138295173645;0.14656078815460205;1;6
01301410;_hyponym;01302183;01301410;_hyponym;01302365;01301410;_hyponym;01345877;01301410;_hyponym;01286913;01301410;_hyponym;01288052;0.9675137996673584;0.9927197694778442;1;3
09624980;_hyponym;10032524;10032524;_hypernym;09624980;09624980;_hyponym;10069120;09624980;_hyponym;10513623;09624980;_hyponym;10727256;0.9017384052276611;4.836579319089651e-05;1;17687
08814333;_instance_hypernym;08524735;08524735;_instance_hyponym;08814333;08813978;_has_part;08814333;08814333;_part_of;08813978;;;;0.996865451335907;0.16069266200065613;1;1
08951077;_instance_hypernym;08524735;08524735;_instance_hyponym;08951077;08949093;_has_part;08951077;;;;;;;0.9960111379623413;0.15998205542564392;1;1
10049017;_instance_hyponym;10927424;10927424;_instance_hypernym;10049017;10049017;_hypernym;09615807;;;;;;;0.9371261596679688;7.499590719817206e-05;1;584
08505573;_instance_hyponym;09170788;08505573;_instance_hyponym;09168020;08505573;_instance_hyponym;09171674;08505573;_instance_hyponym;09167767;08505573;_instance_hyponym;09170294;0.9493500590324402;0.9234426021575928;1;5
08633957;_instance_hyponym;09013353;08633957;_instance_hyponym;08898633;08633957;_instance_hyponym;08983742;08633957;_instance_hyponym;08773336;08633957;_instance_hyponym;08773679;0.9177459478378296;0.9537010788917542;1;1
01522952;_member_holonym;01522789;01522789;_member_meronym;01522952;;;;;;;;;;0.8799116015434265;6.107515218900517e-05;1;1104
01711297;_member_holonym;01710348;01710348;_member_meronym;01711297;;;;;;;;;;0.8148302435874939;0.0016796522540971637;1;23
12475035;_member_holonym;12474828;12474828;_member_meronym;12475035;12475035;_hyponym;12475242;12475242;_hypernym;12475035;;;;0.8927287459373474;2.3001946829026565e-05;1;16849
02440705;_member_meronym;02448754;02440705;_member_meronym;02446888;02440705;_member_meronym;02448200;02440705;_member_meronym;02449921;02440705;_member_meronym;02445276;0.8900831341743469;0.9412695169448853;1;1
11746776;_member_meronym;12539306;11746776;_member_meronym;11747468;11746776;_member_meronym;12556307;11746776;_member_meronym;12501035;11746776;_member_meronym;11751598;0.9713369607925415;0.9613339900970459;1;4
12954185;_member_meronym;12954353;12954353;_member_holonym;12954185;12954185;_member_holonym;12952852;12952852;_member_meronym;12954185;;;;0.8494419455528259;9.506390779279172e-05;1;701
02535909;_member_meronym;02536456;02536456;_member_holonym;02535909;02535909;_member_meronym;02536864;02536864;_member_holonym;02535909;02535909;_member_meronym;02536165;0.8986347317695618;0.019728269428014755;1;7
12995724;_member_meronym;13082077;13082077;_member_holonym;12995724;13077479;_member_holonym;12995724;12995724;_member_meronym;12996068;12996068;_member_holonym;12995724;0.8363532423973083;0.00013906802632845938;1;927
08188449;_member_meronym;09920901;09920901;_member_holonym;08188449;08430568;_hyponym;08188449;02874282;_derivationally_related_form;08188449;08188449;_hypernym;08430568;0.9519944787025452;1.901328141684644e-05;1;15162
06295235;_member_of_domain_usage;03688192;06295235;_member_of_domain_usage;05921685;06295235;_member_of_domain_usage;02854739;06295235;_member_of_domain_usage;07942152;06295235;_member_of_domain_usage;03885028;0.9477986693382263;0.9472323060035706;1;3
09107626;_part_of;09105821;09105821;_has_part;09107626;;;;;;;;;;0.9321852326393127;0.000630429363809526;1;74
08808452;_part_of;08808292;08808292;_has_part;08808452;;;;;;;;;;0.7386801242828369;5.818507634103298e-05;1;1564
08899776;_part_of;08897065;08897065;_has_part;08899776;;;;;;;;;;0.9862241744995117;0.001281506265513599;1;27
03540267;_synset_domain_region_of;08860123;08860123;_member_of_domain_region;03540267;03540267;_hyponym;04434932;03540267;_hypernym;03381126;03381126;_hyponym;03540267;0.9982702732086182;0.23324888944625854;1;2
01284444;_synset_domain_region_of;09108164;09108164;_member_of_domain_region;01284444;01284444;_instance_hypernym;00223983;;;;;;;0.9680815935134888;2.840725028363522e-05;1;16934
08029421;_synset_domain_region_of;09050730;09050730;_member_of_domain_region;08029421;00759694;_member_of_domain_topic;08029421;08029421;_member_meronym;10237676;08029421;_member_meronym;10141811;0.9682353138923645;0.00022764054301660508;1;1175
08107191;_synset_domain_topic_of;06037666;06037666;_member_of_domain_topic;08107191;08107191;_member_holonym;08106934;07992450;_hyponym;08107191;08107191;_hypernym;07992450;0.9975676536560059;0.0050237285904586315;1;12
01583656;_verb_group;01583494;01583494;_verb_group;01583656;01583656;_hypernym;01582645;01583656;_derivationally_related_form;01149480;01149480;_derivationally_related_form;01583656;0.9145084619522095;2.3290596800507046e-05;1;10304
02701210;_verb_group;02732798;02732798;_verb_group;02701210;02964634;_derivationally_related_form;02701210;02700867;_verb_group;02701210;02701210;_verb_group;02700867;0.8814932703971863;1.1744903531507589e-05;1;28265
