moe_howard;actedin;income_tax_sappy;moe_howard;actedin;bedlam_in_paradise;;;;;;;;;;3.2985961;3.6163676;1;3
jürgen_habermas;isinterestedin;political_philosophy;carl_schmitt;influences;jürgen_habermas;;;;;;;;;;4.5015597;4.924623;1;1
ținutul_crișuri;islocatedin;transylvania;ținutul_crișuri;islocatedin;sălaj_county;;;;;;;;;;6.3319855;6.5537214;1;1
tustin_california;islocatedin;california;tustin_california;islocatedin;orange_county_california;;;;;;;;;;6.6691723;7.2583675;1;3
sitges;islocatedin;spain;sitges;islocatedin;barcelona;;;;;;;;;;6.6776395;8.4671545;1;8
yeung_ching_kwong;playsfor;hong_kong_national_football_team;yeung_ching_kwong;playsfor;sun_pegasus_fc;;;;;;;;;;5.5102005;4.262398;1;2
karl_ready;playsfor;crawley_town_f.c.;karl_ready;isaffiliatedto;wales_national_football_team;;;;;;;;;;4.0064096;4.482073;1;2
simon_cziommer;playsfor;fc_twente;simon_cziommer;isaffiliatedto;heracles_almelo;;;;;;;;;;3.8183923;4.1586695;1;1
david_sinclair_(footballer_born_1969);playsfor;falkirk_f.c.;david_sinclair_(footballer_born_1969);isaffiliatedto;dundee_united_f.c.;david_sinclair_(footballer_born_1969);playsfor;raith_rovers_f.c.;;;;;;;2.5691595;4.257353;1;8
konstantine_darsania;playsfor;fc_sioni_bolnisi;konstantine_darsania;playsfor;fc_borjomi;;;;;;;;;;6.744233;6.7245283;1;1
philippe_senderos;playsfor;arsenal_f.c._academy;philippe_senderos;isaffiliatedto;arsenal_f.c._academy;;;;;;;;;;6.030189;7.125476;1;71
felipe_jorge_loureiro;playsfor;clube_atlético_mineiro;felipe_jorge_loureiro;isaffiliatedto;clube_atlético_mineiro;;;;;;;;;;4.07512;4.838285;1;5
nima_ghavidel;playsfor;saipa_f.c.;nima_ghavidel;wasbornin;rasht;;;;;;;;;;6.084605;4.9067106;1;2
jorge_domínguez;playsfor;argentina_national_football_team;jorge_domínguez;isaffiliatedto;argentina_national_football_team;jorge_domínguez;playsfor;textil_mandiyú;;;;;;;5.4808292;7.157645;1;97
norshahrul_idlan_talaha;playsfor;malaysia_national_football_team;norshahrul_idlan_talaha;isaffiliatedto;malaysia_national_football_team;norshahrul_idlan_talaha;playsfor;negeri_sembilan_fa;norshahrul_idlan_talaha;playsfor;malaysian_president's_cup;;;;3.736116;5.025312;1;1
vilard_normcharoen;playsfor;singhtarua_f.c.;vilard_normcharoen;isaffiliatedto;singhtarua_f.c.;;;;;;;;;;5.675416;7.132059;1;4
santiago_dellapè;playsfor;benetton_rugby_treviso;santiago_dellapè;playsfor;rc_toulonnais;;;;;;;;;;6.8530464;6.8350606;1;2
marcell_takács;playsfor;hungary_national_under-19_football_team;marcell_takács;wasbornin;budapest;;;;;;;;;;4.792753;4.8714848;1;4
malik_asselah;playsfor;cr_belouizdad;malik_asselah;isaffiliatedto;cr_belouizdad;;;;;;;;;;5.086461;5.1560087;1;4
fjodor_xhafa;playsfor;kf_elbasani;fjodor_xhafa;isaffiliatedto;flamurtari_vlorë;;;;;;;;;;4.740875;4.7738285;1;1
aleksandr_stavpets;playsfor;fc_moscow;aleksandr_stavpets;playsfor;fc_ural_sverdlovsk_oblast;;;;;;;;;;5.2964797;5.460689;1;1
luis_ignacio_quinteros;playsfor;club_deportivo_universidad_católica;luis_ignacio_quinteros;isaffiliatedto;club_de_gimnasia_y_esgrima_la_plata;;;;;;;;;;2.5255456;3.9881809;1;20
fernando_alves_santa_clara;playsfor;cruzeiro_esporte_clube;fernando_alves_santa_clara;isaffiliatedto;sociedade_esportiva_e_recreativa_caxias_do_sul;;;;;;;;;;2.918333;3.7804923;1;18
anastasios_katsabis;playsfor;greece_national_football_team;anastasios_katsabis;wasbornin;athens;;;;;;;;;;5.001092;4.9747534;1;3
andy_williams_(welsh_footballer);playsfor;wales_national_football_team;andy_williams_(welsh_footballer);isaffiliatedto;southampton_f.c.;;;;;;;;;;5.0925407;5.267168;1;1
yuriy_moroz;playsfor;fc_alania_vladikavkaz;yuriy_moroz;playsfor;maccabi_jaffa_f.c.;yuriy_moroz;playsfor;hapoel_be'er_sheva_f.c.;;;;;;;4.1945157;5.4508424;1;25
edgar_álvarez;playsfor;cagliari_calcio;edgar_álvarez;playsfor;a.s._roma;;;;;;;;;;5.280546;5.0615115;1;1
oleksandr_shovkovskiy;playsfor;ukraine_national_under-21_football_team;oleksandr_shovkovskiy;playsfor;fc_dynamo-3_kyiv;;;;;;;;;;3.7307138;4.4394703;1;5
mark_stallard;playsfor;chesterfield_f.c.;mark_stallard;playsfor;derby_county_f.c.;;;;;;;;;;2.0413108;2.9120321;1;2
aitor_ramos;playsfor;barakaldo_cf;aitor_ramos;playsfor;cd_laudio;;;;;;;;;;5.3504705;5.12084;1;1
mauricio_donoso;playsfor;deportes_antofagasta;mauricio_donoso;isaffiliatedto;deportes_antofagasta;;;;;;;;;;2.7302113;3.2944183;1;7
amr_aly;playsfor;los_angeles_lazers;amr_aly;isaffiliatedto;columbia_university;;;;;;;;;;5.168328;5.1439743;1;5
liam_tuohy_(footballer);playsfor;republic_of_ireland_national_football_team;liam_tuohy_(footballer);isaffiliatedto;republic_of_ireland_national_football_team;liam_tuohy_(footballer);playsfor;league_of_ireland_xi;liam_tuohy_(footballer);isaffiliatedto;league_of_ireland_xi;;;;3.2896304;4.10629;1;2
lothar_kurbjuweit;playsfor;east_germany_national_football_team;lothar_kurbjuweit;playsfor;tsv_stahl_riesa;;;;;;;;;;5.344636;4.724389;1;1
ahmed_bahja;playsfor;mas_fez;ahmed_bahja;isaffiliatedto;mas_fez;;;;;;;;;;4.35535;5.132431;1;13
federico_vairo;playsfor;rosario_central;federico_vairo;playsfor;o'higgins_f.c.;federico_vairo;isaffiliatedto;deportivo_cali;;;;;;;4.6294556;6.155737;1;11
artur_voskanyan;playsfor;armenia_national_football_team;artur_voskanyan;playsfor;digenis_akritas_morphou;;;;;;;;;;4.6068325;5.0748854;1;5
thomas_rongen;playsfor;chicago_sting;thomas_rongen;isaffiliatedto;chicago_sting;;;;;;;;;;4.4829564;4.4202347;1;1
jeff_barmby;playsfor;goole_a.f.c.;jeff_barmby;playsfor;scarborough_f.c.;;;;;;;;;;5.86625;6.449975;1;2
bent_skammelsrud;playsfor;norway_national_football_team;bent_skammelsrud;playsfor;bayer_04_leverkusen;;;;;;;;;;4.4167585;3.45096;1;1
phil_king_(footballer);playsfor;exeter_city_f.c.;phil_king_(footballer);playsfor;sheffield_wednesday_f.c.;;;;;;;;;;2.8925316;3.0574145;1;6
edin_ćurić;playsfor;yugoslavia_national_football_team;edin_ćurić;isaffiliatedto;fk_željezničar_sarajevo;;;;;;;;;;7.0819817;7.216139;1;26
jim_st._andre;playsfor;milwaukee_wave;jim_st._andre;isaffiliatedto;wichita_wings;;;;;;;;;;4.194336;4.7454844;1;1
benedict_vilakazi_(soccer);wasbornin;soweto;benedict_vilakazi_(soccer);playsfor;mpumalanga_black_aces_f.c.;;;;;;;;;;6.4911385;7.2806582;1;1
gabriel_enrique_gómez;wasbornin;panama_city;gabriel_enrique_gómez;isaffiliatedto;tauro_f.c.;gabriel_enrique_gómez;isaffiliatedto;sporting_san_miguelito;gabriel_enrique_gómez;playsfor;san_francisco_f.c.;;;;7.090879;6.5413895;1;1
nikola_jerkan;wasbornin;split_croatia;nikola_jerkan;isaffiliatedto;hnk_hajduk_split;;;;;;;;;;6.752067;7.11135;1;2
pablo_álvarez_menéndez;wasbornin;montevideo;pablo_álvarez_menéndez;isaffiliatedto;panserraikos_f.c.;;;;;;;;;;8.45746;8.258076;1;1
ljubiša_spajić;wasbornin;belgrade;ljubiša_spajić;playsfor;red_star_belgrade;;;;;;;;;;5.395754;6.7725096;1;1
otto_hemele;wasbornin;prague;otto_hemele;diedin;prague;otto_hemele;playsfor;dukla_prague;;;;;;;6.663647;8.129715;1;2
joseph_stefan;worksat;university_of_vienna;joseph_stefan;hasacademicadvisor;andreas_von_ettingshausen;ludwig_boltzmann;hasacademicadvisor;joseph_stefan;joseph_stefan;iscitizenof;austrian_empire;;;;4.7408705;6.3725343;1;1
